GCAM_commodity,GCAM_region_ID,iso,Nfixkg,totval,Nfixkg.yld
Corn,1,pri,0,10184,0
Corn,1,usa,0,4844790400,0
Corn,2,bdi,0,2307307,0
Corn,2,com,0,81371,0
Corn,2,dji,0,207,0
Corn,2,eri,0,224033,0
Corn,2,eth,0,123605276,0
Corn,2,ken,0,49014760,0
Corn,2,mdg,0,5437904,0
Corn,2,mus,0,7143,0
Corn,2,rwa,0,2997944,0
Corn,2,som,0,3037187,0
Corn,2,uga,0,25225160,0
Corn,3,dza,0,17702,0
Corn,3,egy,0,116553736,0
Corn,3,mar,0,3044271,0
Corn,4,ago,0,10815561,0
Corn,4,bwa,0,209656,0
Corn,4,lso,0,1821806,0
Corn,4,moz,0,24734128,0
Corn,4,mwi,0,42439299,0
Corn,4,nam,0,745931,0
Corn,4,swz,0,1538036,0
Corn,4,zmb,0,24287659,0
Corn,4,zwe,0,23668010,0
Corn,5,ben,0,14953839,0
Corn,5,bfa,0,12443515,0
Corn,5,caf,0,2148127,0
Corn,5,cmr,0,19738302,0
Corn,5,cog,0,160899,0
Corn,5,cpv,0,184105,0
Corn,5,gab,0,572383,0
Corn,5,gha,0,23058600,0
Corn,5,gin,0,7704749,0
Corn,5,gmb,0,505059,0
Corn,5,gnb,0,368970,0
Corn,5,mli,0,12031032,0
Corn,5,mrt,0,209637,0
Corn,5,ner,0,130984,0
Corn,5,nga,0,113034280,0
Corn,5,sen,0,3439673,0
Corn,5,sle,0,419161,0
Corn,5,stp,0,51310,0
Corn,5,tcd,0,2862013,0
Corn,5,tgo,0,9521288,0
Corn,6,aus,0,6422112,0
Corn,6,nzl,0,3485904,0
Corn,7,bra,0,784560010,0
Corn,8,can,0,168454000,0
Corn,9,bhs,0,6742,0
Corn,9,blz,0,714391,0
Corn,9,brb,0,6974,0
Corn,9,cri,0,349523,0
Corn,9,cub,0,5210363,0
Corn,9,dma,0,4160,0
Corn,9,dom,0,631384,0
Corn,9,grd,0,6218,0
Corn,9,gtm,0,22390351,0
Corn,9,hnd,0,9744936,0
Corn,9,hti,0,4113695,0
Corn,9,jam,0,42131,0
Corn,9,msr,0,1430,0
Corn,9,nic,0,7726757,0
Corn,9,pan,0,1606816,0
Corn,9,slv,0,12355899,0
Corn,9,tto,0,72258,0
Corn,9,vct,0,16832,0
Corn,10,arm,0,226647,0
Corn,10,aze,0,2054325,0
Corn,10,geo,0,6422876,0
Corn,10,kaz,0,6256184,0
Corn,10,kgz,0,6761474,0
Corn,10,tjk,0,1730699,0
Corn,10,tkm,0,391368,0
Corn,10,uzb,0,3308158,0
Corn,11,chn,0,2544568391,0
Corn,12,bgr,0,25521564,0
Corn,12,cze,0,19165730,0
Corn,12,hun,0,120140500,0
Corn,12,ltu,0,303600,0
Corn,12,pol,0,26427294,0
Corn,12,rom,0,164073602,0
Corn,12,svk,0,15238727,0
Corn,12,svn,0,5578606,0
Corn,13,aut,0,33545780,0
Corn,13,bel,0,16928842,0
Corn,13,deu,0,68252610,0
Corn,13,dnk,0,75100,0
Corn,13,esp,0,70844916,0
Corn,13,fra,0,268891897,0
Corn,13,grc,0,39747986,0
Corn,13,ita,0,172088193,0
Corn,13,lux,0,32053,0
Corn,13,nld,0,3564054,0
Corn,13,prt,0,13842914,0
Corn,14,blr,0,4707937,0
Corn,14,ukr,0,140715600,0
Corn,15,alb,0,4323673,0
Corn,15,bih,0,14059876,0
Corn,15,hrv,0,35282710,0
Corn,15,mne,0,59691,0
Corn,15,scg,0,61443690,0
Corn,15,srb,0,39695332,0
Corn,15,tur,0,56157000,0
Corn,16,che,0,3267026,0
Corn,17,ind,0,270056700,0
Corn,18,idn,0,223136912,0
Corn,19,jpn,0,3321,0
Corn,20,mex,0,361768654,0
Corn,21,are,0,3779,0
Corn,21,irq,0,4583866,0
Corn,21,isr,0,1398109,0
Corn,21,jor,0,278225,0
Corn,21,kwt,0,80371,0
Corn,21,lbn,0,70576,0
Corn,21,qat,0,21461,0
Corn,21,sau,0,1342780,0
Corn,21,syr,0,3970043,0
Corn,21,yem,0,1036816,0
