GCAM_commodity,GCAM_region_ID,Nfixkg,totval,Nfixkg.yld
Corn,1,0,4844800584,0
Corn,2,0,211938292,0
Corn,3,0,119615709,0
Corn,4,0,130260086,0
Corn,5,0,223537926,0
Corn,6,0,9908016,0
Corn,7,0,784560010,0
Corn,8,0,168454000,0
Corn,9,0,65000860,0
Corn,10,0,27151731,0
Corn,11,0,2544568391,0
Corn,12,0,376449623,0
Corn,13,0,687814345,0
Corn,14,0,145423537,0
Corn,15,0,211021972,0
Corn,16,0,3267026,0
Corn,17,0,270056700,0
Corn,18,0,223136912,0
Corn,19,0,3321,0
Corn,20,0,361768654,0
Corn,21,0,12786026,0
Corn,22,0,46423110,0
Corn,23,0,112787168,0
Corn,24,0,175327886,0
Corn,25,0,82194,0
Corn,26,0,87564951,0
Corn,27,0,44988050,0
Corn,29,0,262012761,0
Corn,31,0,306666537,0
Corn,32,0,24610768,0
Corn,NA,0,201891340,0
FiberCrop,1,0,176872140,0
FiberCrop,2,0,5864865,0
FiberCrop,3,0,11354746,0
FiberCrop,4,0,10108615,0
FiberCrop,5,0,40025846,0
FiberCrop,6,0,24864427,0
FiberCrop,7,0,52730430,0
FiberCrop,8,0,841982,0
FiberCrop,9,0,666832,0
FiberCrop,10,0,94427721,0
FiberCrop,11,0,314602346,0
FiberCrop,12,0,738724,0
FiberCrop,13,0,27691532,0
FiberCrop,14,0,950388,0
FiberCrop,15,0,40410407,0
FiberCrop,17,0,210589770,0
FiberCrop,18,0,97331,0
FiberCrop,19,0,1,0
FiberCrop,20,0,8788470,0
FiberCrop,21,0,16895324,0
FiberCrop,22,0,102870130,0
FiberCrop,23,0,1773410,0
FiberCrop,24,0,1155297,0
FiberCrop,26,0,6762281,0
FiberCrop,27,0,18335073,0
FiberCrop,29,0,8565228,0
FiberCrop,31,0,11656690,0
FiberCrop,32,0,2319145,0
FiberCrop,NA,0,17742110,0
FodderHerb,2,8580614.68944505,5074611,1.6908911223825926
FodderHerb,3,346163.4526000694,168513,2.0542240218859638
FodderHerb,6,1777473.2520515586,438162,4.056657702063526
FodderHerb,12,338001.3719272293,208812,1.6186874888762584
FodderHerb,13,4992279.583839718,1943234,2.5690573465880684
FodderHerb,14,4286422.669069006,2053398,2.087477765668909
FodderHerb,15,6224612.763099533,3055182,2.037395076005139
FodderHerb,20,1954434.3427420727,1940182,1.0073458792742498
FodderHerb,21,1046985.4192769424,516720,2.0262142345505154
FodderHerb,23,18362014.831480265,11201368,1.6392653853958075
FodderHerb,NA,285162.5523751354,164338,1.7352198053714627
Fruits,1,0,538925270,0
Fruits,2,0,124572620,0
Fruits,3,0,276868940,0
Fruits,4,0,39488560,0
Fruits,5,0,117784903,0
Fruits,6,0,77233105,0
Fruits,7,0,673090071,0
Fruits,8,0,13402147,0
Fruits,9,0,239880739,0
Fruits,10,0,107752849,0
Fruits,11,0,2282791978,0
Fruits,12,0,168622922,0
Fruits,13,0,949188821,0
Fruits,14,0,46755780,0
Fruits,15,0,316376814,0
Fruits,16,0,10067219,0
Fruits,17,0,850973649,0
Fruits,18,0,214178289,0
Fruits,19,0,51187308,0
Fruits,20,0,260680200,0
Fruits,21,0,173570080,0
Fruits,22,0,94905790,0
Fruits,23,0,137550162,0
Fruits,24,0,94211748,0
Fruits,25,0,2239669,0
Fruits,26,0,264160428,0
Fruits,27,0,62539390,0
Fruits,29,0,501521963,0
Fruits,31,0,130919561,0
Fruits,32,0,64722183,0
Fruits,NA,0,452372189,0
Legumes,1,31241508.90105678,33016631,0.9462355169143932
Legumes,2,9506520.159245789,58530505,0.16241992375165376
Legumes,3,1411904.9739382546,4742511,0.2977125353928024
Legumes,4,4997173.6493070815,13412797,0.37256760460231236
Legumes,5,79232070.85587673,87666505,0.9037895471694318
Legumes,6,42292292.13898458,35336604,1.1968408774930546
Legumes,7,90858689.91299759,54155385,1.6777406330505746
Legumes,8,102716824.93028899,66884300,1.5357389541385496
Legumes,9,3173254.23962784,13074440,0.24270670404452047
Legumes,10,1203639.5369667192,2898132,0.41531563675040306
Legumes,11,47704830.699680515,53780438,0.8870294195015763
Legumes,12,3864165.1356105423,13003448,0.2971646547600715
Legumes,13,56081168.69589641,58682654,0.9556685813135924
Legumes,14,24658977.7096402,16817475,1.46627110845357
Legumes,15,26797023.79038089,26021280,1.0298118997367114
Legumes,16,683422.763881404,284422,2.402847753976148
Legumes,17,234594432.61485878,257391300,0.9114310880548752
Legumes,18,9607136.28741977,5672952,1.6934986030940804
Legumes,19,2935840.9158088206,1744051,1.6833457942507533
Legumes,20,31621283.946820963,23590175,1.3404429575796264
Legumes,21,4084281.2531738477,6027087,0.677654271984766
Legumes,22,29227490.39676517,17152657,1.70396285524541
Legumes,23,58776417.43068758,46496680,1.2640992309706323
Legumes,24,1716935.6230130212,1520011,1.1295547354677178
Legumes,25,37348.02980915934,16985,2.198883120939614
Legumes,26,1678466.6396860783,5958671,0.28168473132449806
Legumes,27,5063625.614373714,11693456,0.4330307151601472
Legumes,29,52474088.22393089,64353455,0.8154043667730176
Legumes,31,7871653.75105248,5907254,1.3325402549225884
Legumes,32,3638693.135745109,3149005,1.1555056710755014
Legumes,NA,10163619.240944095,40961689,0.2481250038528464
MiscCrop,1,0,8890665,0
MiscCrop,2,0,24615143,0
MiscCrop,3,0,1515562,0
MiscCrop,4,0,8087329,0
MiscCrop,5,0,6525993,0
MiscCrop,6,0,145200,0
MiscCrop,7,0,52566374,0
MiscCrop,8,0,949513,0
MiscCrop,9,0,17817731,0
MiscCrop,10,0,1599350,0
MiscCrop,11,0,76066773,0
MiscCrop,12,0,2190134,0
MiscCrop,13,0,5814921,0
MiscCrop,14,0,43205,0
MiscCrop,15,0,7571002,0
MiscCrop,16,0,23756,0
MiscCrop,17,0,57641738,0
MiscCrop,18,0,23385536,0
MiscCrop,19,0,3192744,0
MiscCrop,20,0,5914560,0
MiscCrop,21,0,1299564,0
MiscCrop,22,0,2621641,0
MiscCrop,23,0,103174,0
MiscCrop,24,0,553004,0
MiscCrop,25,0,10271,0
MiscCrop,26,0,6157195,0
MiscCrop,27,0,14015403,0
MiscCrop,29,0,33406216,0
MiscCrop,31,0,3556326,0
MiscCrop,32,0,12675126,0
MiscCrop,NA,0,10065618,0
NutsSeeds,1,53545034.88572054,58125332,0.9211996395258533
NutsSeeds,2,4124968.7310506077,8605093,0.4793636432576159
NutsSeeds,3,4206248.7568595875,7712045,0.5454128907260769
NutsSeeds,4,6450074.83718335,10748226,0.6001059930432566
NutsSeeds,5,74054071.81474823,123826223,0.5980483779655318
NutsSeeds,6,654202.9455949184,1375838,0.4754941683504297
NutsSeeds,7,7042043.880616466,7135889,0.9868488538171579
NutsSeeds,9,3737744.7685498805,3676354,1.0166988185985029
NutsSeeds,10,34725.94017524898,2287016,0.015183951566254447
NutsSeeds,11,662149290.7249727,258722228,2.5593057691392977
NutsSeeds,12,23082.36095344028,2476647,0.00932000440653847
NutsSeeds,13,329.0688334641417,12404918,2.6527288085591673e-5
NutsSeeds,14,0,1632931,0
NutsSeeds,15,391173.75076484174,17068891,0.022917350094088816
NutsSeeds,16,0,49434,0
NutsSeeds,17,334471018.65734684,135043470,2.4767655826479196
NutsSeeds,18,55116246.1588166,24405384,2.258364226468086
NutsSeeds,19,1160180.8415706935,408100,2.8428837088230665
NutsSeeds,20,2163854.0550401215,4374215,0.49468397301918665
NutsSeeds,21,196954.32157929876,4565902,0.04313590646038806
NutsSeeds,22,2970406.366881356,2575892,1.1531564082971475
NutsSeeds,23,0,374802,0
NutsSeeds,24,6091422.817372305,2243381,2.7152868003127
NutsSeeds,25,116351.2103168728,43498,2.6748634492821006
NutsSeeds,26,629043.3582003071,1561168,0.4029312400717329
NutsSeeds,27,930152.1938772618,1769531,0.5256489961900989
NutsSeeds,29,22138208.99495566,44208620,0.500766796044655
NutsSeeds,31,24914254.618026648,8444763,2.9502609626849976
NutsSeeds,32,225501.83338634984,79032,2.8532978209630255
NutsSeeds,NA,20094041.20917896,39560021,0.5079380824691413
OilCrop,1,0,46645539,0
OilCrop,2,0,14962066,0
OilCrop,3,0,43513784,0
OilCrop,4,0,2442870,0
OilCrop,5,0,28329591,0
OilCrop,6,0,31282665,0
OilCrop,7,0,4085776,0
OilCrop,8,0,179102559,0
OilCrop,9,0,1070239,0
OilCrop,10,0,8328516,0
OilCrop,11,0,268011857,0
OilCrop,12,0,141004097,0
OilCrop,13,0,461190108,0
OilCrop,14,0,96545710,0
OilCrop,15,0,51819571,0
OilCrop,16,0,1369783,0
OilCrop,17,0,166425600,0
OilCrop,18,0,4058546,0
OilCrop,19,0,20587,0
OilCrop,20,0,3465647,0
OilCrop,21,0,21020314,0
OilCrop,22,0,10463440,0
OilCrop,23,0,203313028,0
OilCrop,24,0,12708590,0
OilCrop,26,0,8229308,0
OilCrop,27,0,8568064,0
OilCrop,29,0,21960639,0
OilCrop,31,0,81271009,0
OilCrop,32,0,69264,0
OilCrop,NA,0,31580879,0
OtherGrain,1,0,347280768,0
OtherGrain,2,0,251807019,0
OtherGrain,3,0,79929271,0
OtherGrain,4,0,14435329,0
OtherGrain,5,0,462618067,0
OtherGrain,6,0,205028412,0
OtherGrain,7,0,35465501,0
OtherGrain,8,0,272430000,0
OtherGrain,9,0,8574935,0
OtherGrain,10,0,61895508,0
OtherGrain,11,0,202202106,0
OtherGrain,12,0,448406601,0
OtherGrain,13,0,1172771827,0
OtherGrain,14,0,282885616,0
OtherGrain,15,0,168856260,0
OtherGrain,16,0,22689523,0
OtherGrain,17,0,356000400,0
OtherGrain,19,0,3971231,0
OtherGrain,20,0,124519396,0
OtherGrain,21,0,49287540,0
OtherGrain,22,0,9676922,0
OtherGrain,23,0,994844402,0
OtherGrain,24,0,9968961,0
OtherGrain,26,0,22210065,0
OtherGrain,27,0,12304352,0
OtherGrain,29,0,10984962,0
OtherGrain,31,0,87086851,0
OtherGrain,32,0,4154307,0
OtherGrain,NA,0,165807128,0
PalmFruit,1,0,77885,0
PalmFruit,2,0,4318008,0
PalmFruit,4,0,6505569,0
PalmFruit,5,0,11985408,0
PalmFruit,7,0,42952880,0
PalmFruit,9,0,12588669,0
PalmFruit,11,0,4838211,0
PalmFruit,17,0,172128270,0
PalmFruit,18,0,296268000,0
PalmFruit,20,0,20818620,0
PalmFruit,22,0,161438,0
PalmFruit,25,0,1578468,0
PalmFruit,26,0,839451,0
PalmFruit,27,0,37965224,0
PalmFruit,29,0,361763827,0
PalmFruit,32,0,1812604,0
PalmFruit,NA,0,11108794,0
Rice,1,41446807.49834084,164911550,0.2513274994889129
Rice,2,36261771.14832363,66557551,0.5448182903893749
Rice,3,20550451.487740364,104415568,0.1968140563842009
Rice,4,4008429.3021342037,4928161,0.8133722299523501
Rice,5,41601935.7483164,146349201,0.2842648642018647
Rice,6,4216581.366168127,14550226,0.2897949053278023
Rice,7,106243775.1447273,199745641,0.5318953375544616
Rice,9,3969134.0628767684,38611940,0.10279550996082477
Rice,10,2704912.7679429846,12164420,0.222362658305368
Rice,11,991730421.4803753,3423174390,0.28971075045942235
