GCAM_commodity,GCAM_region_ID,iso,contentN,contentP
Corn,1,pri,8e-4,8e-4
Corn,1,usa,6.4e-4,6.4e-4
Corn,2,bdi,0.00354,0.00354
Corn,2,com,9.6e-4,9.6e-4
Corn,2,dji,3.2e-4,3.2e-4
Corn,2,eri,0.0176,0.0176
Corn,2,eth,0.029,0.029
Corn,2,ken,5e-4,5e-4
Corn,2,mdg,0.01104,0.01104
Corn,2,mus,0.00144,0.00144
Corn,2,rwa,0.02992,0.02992
Corn,2,som,0.0288,0.0288
Corn,2,uga,0.00354,0.00354
Corn,3,dza,0.0021,0.0021
Corn,3,egy,0.00144,0.00144
Corn,3,esh,0,0
Corn,3,mar,0.00288,0.00288
Corn,3,tun,0,0
Corn,4,ago,0.0018,0.0018
Corn,4,bwa,0.02352,0.02352
Corn,4,lso,0.00112,0.00112
Corn,4,moz,0.03216,0.03216
Corn,4,mwi,0.03744,0.03744
Corn,4,nam,0.013,0.013
Corn,4,swz,0.016,0.016
Corn,4,zmb,0.00112,0.00112
Corn,4,zwe,0.001,0.001
Corn,5,ben,0.0088,0.0088
Corn,5,bfa,0.0018,0.0018
Corn,5,caf,6.4e-4,6.4e-4
Corn,5,cmr,0.01168,0.01168
Corn,5,cog,0.03344,0.03344
Corn,5,cpv,6.4e-4,6.4e-4
Corn,5,gab,0.00144,0.00144
Corn,5,gha,3.2e-4,3.2e-4
Corn,5,gin,0.0024,0.0024
Corn,5,gmb,9.6e-4,9.6e-4
Corn,5,gnb,0.016,0.016
Corn,5,gnq,0,0
Corn,5,lbr,0,0
Corn,5,mli,0.0256,0.0256
Corn,5,mrt,0.00128,0.00128
Corn,5,ner,0.01072,0.01072
Corn,5,nga,0.00752,0.00752
Corn,5,sen,0.048,0.048
Corn,5,sle,0.0021,0.0021
Corn,5,stp,0.01065,0.01065
Corn,5,tcd,0.036,0.036
Corn,5,tgo,0.0112,0.0112
Corn,6,aus,0.064,0.064
Corn,6,nzl,0.0064,0.0064
Corn,7,bra,0.00256,0.00256
Corn,8,can,0,0
Corn,9,bhs,6.4e-4,6.4e-4
Corn,9,blz,0.03984,0.03984
Corn,9,bmu,0,0
Corn,9,brb,0.02912,0.02912
Corn,9,cri,0.01648,0.01648
Corn,9,cub,0.00112,0.00112
Corn,9,cym,0,0
Corn,9,dma,0.0192,0.0192
Corn,9,dom,0.00304,0.00304
Corn,9,glp,0,0
Corn,9,grd,0.01968,0.01968
Corn,9,gtm,0.0018,0.0018
Corn,9,hnd,0.01856,0.01856
Corn,9,hti,0.0014,0.0014
Corn,9,jam,0,0
Corn,9,kna,0,0
Corn,9,lca,0,0
Corn,9,msr,0.00176,0.00176
Corn,9,mtq,0,0
Corn,9,nic,0.00272,0.00272
Corn,9,pan,0.0024,0.0024
Corn,9,slv,0.016,0.016
Corn,9,tto,0.02352,0.02352
Corn,9,vct,0.03,0.03
Corn,10,arm,0.0288,0.0288
Corn,10,aze,0.0037,0.0037
Corn,10,geo,0.00256,0.00256
Corn,10,kaz,5e-4,5e-4
Corn,10,kgz,0.0032,0.0032
Corn,10,mng,0,0
Corn,10,tjk,0.0032,0.0032
Corn,10,tkm,0.00272,0.00272
Corn,10,uzb,0.00336,0.00336
Corn,11,chn,0.0026,0.0026
Corn,12,bgr,0.00176,0.00176
Corn,12,cyp,0,0
Corn,12,cze,0.0152,0.0152
Corn,12,est,0,0
Corn,12,hun,0.048,0.048
Corn,12,ltu,0.0016,0.0016
Corn,12,lva,0,0
Corn,12,mlt,0,0
Corn,12,pol,0.0128,0.0128
Corn,12,rom,0.0018,0.0018
Corn,12,svk,0.0018,0.0018
Corn,12,svn,0.03872,0.03872
Corn,13,aut,0.0152,0.0152
Corn,13,bel,0.0128,0.0128
Corn,13,deu,0.00208,0.00208
Corn,13,dnk,0.01,0.01
Corn,13,esp,0.0152,0.0152
Corn,13,fin,0,0
Corn,13,fra,0.0608,0.0608
Corn,13,fro,0,0
Corn,13,gbr,0,0
Corn,13,grc,0,0
Corn,13,irl,0,0
Corn,13,ita,0.00272,0.00272
Corn,13,lux,0.00112,0.00112
Corn,13,nld,0.0018,0.0018
Corn,13,prt,8e-4,8e-4
Corn,13,shn,0,0
Corn,13,spm,0,0
Corn,13,swe,0,0
Corn,14,blr,0.01552,0.01552
Corn,14,ukr,0.0018,0.0018
Corn,15,alb,0.0144,0.0144
Corn,15,bih,0.003,0.003
Corn,15,hrv,0.00128,0.00128
Corn,15,mne,0.0128,0.0128
Corn,15,scg,0.00144,0.00144
Corn,15,srb,0.01088,0.01088
Corn,15,tur,0.0038,0.0038
Corn,16,che,0.01552,0.01552
Corn,16,isl,0,0
Corn,16,lie,0,0
Corn,16,nor,0,0
Corn,17,ind,0.00224,0.00224
Corn,18,idn,0.0504,0.0504
Corn,19,jpn,0.081,0.081
Corn,20,mex,0.002,0.002
Corn,21,are,0.01168,0.01168
Corn,21,bhr,0,0
Corn,21,irq,0.0018,0.0018
Corn,21,isr,0.00208,0.00208
Corn,21,jor,0.0128,0.0128
Corn,21,kwt,0.00784,0.00784
Corn,21,lbn,0.02832,0.02832
Corn,21,omn,6.4e-4,6.4e-4
Corn,21,qat,0.0088,0.0088
Corn,21,sau,0,0
Corn,21,syr,0.0128,0.0128
Corn,21,yem,0.01648,0.01648
Corn,22,pak,0.00224,0.00224
Corn,23,rus,0.003,0.003
Corn,24,zaf,0.064,0.064
Corn,25,guf,0.01808,0.01808
Corn,25,guy,0.04,0.04
Corn,25,sur,8e-4,8e-4
Corn,26,chl,0.00336,0.00336
Corn,26,ecu,0.03136,0.03136
Corn,26,per,0.00128,0.00128
Corn,26,pry,0.00354,0.00354
Corn,26,ury,0.036,0.036
Corn,27,afg,0.00144,0.00144
Corn,27,bgd,0.016,0.016
Corn,27,btn,0.0112,0.0112
Corn,27,lka,0.0037,0.0037
Corn,27,mdv,0.00357,0.00357
Corn,27,npl,0.00624,0.00624
Corn,29,asm,0,0
Corn,29,brn,0,0
Corn,29,cok,0,0
Corn,29,fji,0.01616,0.01616
Corn,29,gum,0,0
Corn,29,khm,0.0018,0.0018
Corn,29,kir,0,0
Corn,29,lao,0.00256,0.00256
Corn,29,mhl,0,0
Corn,29,mmr,0.00176,0.00176
Corn,29,mys,0.0176,0.0176
Corn,29,ncl,0.0096,0.0096
Corn,29,niu,0,0
Corn,29,nru,0,0
Corn,29,pci,0,0
Corn,29,phl,0.00608,0.00608
Corn,29,png,0.00144,0.00144
Corn,29,pyf,0,0
Corn,29,sgp,0,0
Corn,29,slb,0,0
Corn,29,syc,0,0
Corn,29,tha,0.03984,0.03984
Corn,29,tkl,0,0
Corn,29,ton,0,0
Corn,29,tuv,0,0
Corn,29,vnm,9.6e-4,9.6e-4
Corn,29,vut,0.0026,0.0026
Corn,29,wsm,0,0
Corn,31,arg,0.00224,0.00224
Corn,32,col,0.006,0.006
FiberCrop,1,pri,0,0
FiberCrop,1,usa,0.00112,0.00112
FiberCrop,2,bdi,9.6e-4,9.6e-4
FiberCrop,2,com,0,0
FiberCrop,2,dji,0,0
FiberCrop,2,eri,0,0
FiberCrop,2,eth,0.0290491269765638,0.029049126976563797
FiberCrop,2,ken,0.018002522636666487,0.018002522636666487
FiberCrop,2,mdg,0.006885192769025731,0.006885192769025731
FiberCrop,2,mus,0.00357,0.00357
FiberCrop,2,rwa,0,0
FiberCrop,2,som,0.0288,0.0288
FiberCrop,2,uga,9.603324358131746e-4,9.603324358131746e-4
FiberCrop,3,dza,0.01648,0.01648
FiberCrop,3,egy,0.002124690025273187,0.002124690025273187
FiberCrop,3,esh,0,0
FiberCrop,3,mar,0.01088,0.01088
FiberCrop,3,tun,0.00144,0.00144
FiberCrop,4,ago,0.0010645333936805182,0.0010645333936805182
