MODEL,SCENARIO,REGION,VARIABLE,UNIT,2010,2015,2020,2025,2030,2035,2040,2045,2050,2055,2060,2065,2070,2075,2080,2085,2090,2095,2100
NCAR,SSP2_v9_130115,BIH,Population|Urban|Share,%,48.621,,54.5897904534362,,59.8223626113829,,64.3348638189902,,68.1955437275798,,71.4912288399361,,74.3086855891044,,76.7261658621169,,78.8106870696064,,80.6181055496527
NCAR,SSP2_v9_130115,BLR,Population|Urban|Share,%,74.695,,78.2107709723577,,81.3023166208812,,83.9999680453426,,86.3394349408336,,88.3582943231758,,90.0936268937861,,91.5805487080368,,92.8513944149494,,93.9353490240645
NCAR,SSP2_v9_130115,BOL,Population|Urban|Share,%,66.545,,70.349955943702,,73.7545622865302,,76.7835831875619,,79.4679497601148,,81.8408643254809,,83.9352968204675,,85.7825119899474,,87.4113046088745,,88.8476922582576
NCAR,SSP2_v9_130115,BRA,Population|Urban|Share,%,86.529,,88.7087230019885,,90.2183864177723,,91.3202205788629,,92.1567140211549,,92.8114439583052,,93.3364775284751,,93.7658611816215,,94.1227584639665,,94.4234578969814
NCAR,SSP2_v9_130115,BWA,Population|Urban|Share,%,61.134,,66.9694982305473,,71.5444341962444,,75.1529244919927,,78.0329458849633,,80.3634531704062,,82.2757126533729,,83.8656600644534,,85.2038451800424,,86.3427065976153
NCAR,SSP2_v9_130115,CAF,Population|Urban|Share,%,38.943,,44.9531755634506,,50.4950312204065,,55.465213619603,,59.8429882771394,,63.6589465335226,,66.9689985299142,,69.8372273809551,,72.326319207114,,74.4930739639086
NCAR,SSP2_v9_130115,CAN,Population|Urban|Share,%,80.582,,83.8530143779538,,86.5870781709267,,88.8644818585768,,90.7575545700279,,92.3292871768259,,93.6334262775836,,94.7152583398099,,95.612649235367,,96.35711431545
NCAR,SSP2_v9_130115,CHE,Population|Urban|Share,%,73.623,,77.4293276871052,,80.6857221503045,,83.4631796397403,,85.8292102237035,,87.8446129208772,,89.5624612321175,,91.0282476951855,,92.2805614851027,,93.3519537181646
NCAR,SSP2_v9_130115,CHL,Population|Urban|Share,%,89.004,,91.3490020020803,,93.2319381980829,,94.7286925817472,,95.9089649186012,,96.8338012105131,,97.5548952824326,,98.1149589106792,,98.548645668006,,98.8836904043392
NCAR,SSP2_v9_130115,CHN,Population|Urban|Share,%,46.955,,54.6682475695852,,60.9252732812637,,65.9008062040688,,69.8480817744377,,73.0006543133074,,75.5456606132112,,77.6251379785069,,79.344889312424,,80.7835464451852
NCAR,SSP2_v9_130115,CIV,Population|Urban|Share,%,50.561,,57.0431472317358,,62.3389686901197,,66.6205058451795,,70.0843121224286,,72.9048252248822,,75.2226969494952,,77.1468723443331,,78.7604904643126,,80.1268520398306
NCAR,SSP2_v9_130115,CMR,Population|Urban|Share,%,58.397,,65.0928893635528,,69.8841716185588,,73.3709945883493,,75.9682262600271,,77.9480012036476,,79.4887629260161,,80.7096142759272,,81.6919364405067,,82.4927025275242
NCAR,SSP2_v9_130115,COD,Population|Urban|Share,%,35.218,,41.5978575292447,,47.595415081101,,53.0346768076056,,57.8490337073437,,62.0475399768691,,65.6808286406857,,68.8164327226897,,71.5241444155732,,73.8686983871776
NCAR,SSP2_v9_130115,COG,Population|Urban|Share,%,62.119,,67.478126105144,,71.8347439609948,,75.3835122332302,,78.2942810157625,,80.7037116417453,,82.7180304095909,,84.4187646380143,,85.8683855851734,,87.1149646067282
NCAR,SSP2_v9_130115,COL,Population|Urban|Share,%,75.071,,79.287481354713,,82.5508450316526,,85.1197643049787,,87.1762755746703,,88.8484130179623,,90.227196701628,,91.3783226391552,,92.3500003678152,,93.1781959006006
NCAR,SSP2_v9_130115,CRI,Population|Urban|Share,%,64.417,,69.1779214734867,,73.2094015536486,,76.6161867269376,,79.499443126945,,81.9484161712726,,84.0383336965286,,85.8311472333653,,87.3773113166122,,88.7177520023757
NCAR,SSP2_v9_130115,CUB,Population|Urban|Share,%,75.225,,79.0479631449931,,82.1714813657239,,84.7393995459999,,86.8660027152881,,88.6404271551757,,90.1318211310714,,91.3939135504237,,92.4686771532121,,93.3891419551652
NCAR,SSP2_v9_130115,CYP,Population|Urban|Share,%,70.32,,74.1709748930961,,77.3309153832904,,79.9441811912016,,82.1251880457997,,83.9627144633062,,85.5252021103955,,86.8654827118414,,88.0245599038926,,89.0344985559517
NCAR,SSP2_v9_130115,CZE,Population|Urban|Share,%,73.541,,77.3498118017722,,80.6060674905376,,83.3821865673328,,85.7466332516346,,87.7607869560319,,89.4780311979795,,90.9439858538056,,92.1972512799375,,93.2703208924049
NCAR,SSP2_v9_130115,DEU,Population|Urban|Share,%,73.849,,77.6481899261272,,80.9049802410535,,83.6862743546509,,86.0568293721502,,88.0757680152519,,89.7952713203331,,91.2604711545866,,92.5099346906756,,93.5763914470308
NCAR,SSP2_v9_130115,DNK,Population|Urban|Share,%,86.866,,88.900496941666,,90.2312538148351,,91.1595570906046,,91.8373115769734,,92.3490471908982,,92.7454265414372,,93.0586192587897,,93.3100172313663,,93.5143917227525
NCAR,SSP2_v9_130115,DOM,Population|Urban|Share,%,69.181,,73.4521295601544,,76.8740404953785,,79.6443738056333,,81.9142842654393,,83.796903154504,,85.3765701225975,,86.716454480799,,87.8642887301844,,88.8565287433748
NCAR,SSP2_v9_130115,DZA,Population|Urban|Share,%,66.497,,70.7053924059477,,74.4198983439702,,77.6769643131456,,80.5209010755783,,82.9979234526079,,85.1526306881904,,87.0261708014581,,88.6554726486368,,90.0731066828535
NCAR,SSP2_v9_130115,ECU,Population|Urban|Share,%,66.947,,70.785032228869,,74.2657456185747,,77.3955202178132,,80.190259890194,,82.6718852825123,,84.8655822141612,,86.7977787368489,,88.4947439748065,,89.9816776896696
NCAR,SSP2_v9_130115,EGY,Population|Urban|Share,%,43.402,,49.683872673951,,55.3354465530711,,60.2986347446526,,64.5960628683439,,68.2916895491047,,71.4639567922098,,74.1907997850967,,76.5427290123437,,78.5805230785757
NCAR,SSP2_v9_130115,ERI,Population|Urban|Share,%,21.577,,26.506685045846,,31.7404841963994,,37.0725311076746,,42.3089322528063,,47.2960735036923,,51.9324938467805,,56.1662630196949,,59.9842991307517,,63.3997225383617
NCAR,SSP2_v9_130115,ESP,Population|Urban|Share,%,77.396,,80.6750103549626,,83.5742266451194,,86.1094797485606,,88.3052475445921,,90.191281621261,,91.7998129783401,,93.1634157623149,,94.3134993986707,,95.2793396807753
NCAR,SSP2_v9_130115,EST,Population|Urban|Share,%,69.487,,72.8679038757072,,75.868943448313,,78.5253831435142,,80.8734968159815,,82.94822425497,,84.781922041809,,86.4038212873312,,87.839912894986,,89.113073008537
NCAR,SSP2_v9_130115,ETH,Population|Urban|Share,%,16.661,,20.9078425564733,,25.6852997424122,,30.8566420138878,,36.2458015436108,,41.6666433629909,,46.951683965273,,51.9713425355584,,56.6406719189893,,60.9159748570646
NCAR,SSP2_v9_130115,FIN,Population|Urban|Share,%,85.09,,87.2819368756896,,89.1265501931193,,90.6835517771247,,92.0018417892409,,93.1213653881621,,94.074775141092,,94.8888316489361,,95.5855473647144,,96.1831057027134
NCAR,SSP2_v9_130115,FRA,Population|Urban|Share,%,85.251,,87.4831375168111,,89.2585551580853,,90.6954007184551,,91.8759569717983,,92.8587628876931,,93.6863350034436,,94.3901557266213,,94.9939552543935,,95.5159131521826
NCAR,SSP2_v9_130115,GAB,Population|Urban|Share,%,86.028,,88.7573180075057,,90.0411785559761,,90.7406892780557,,91.1523393455075,,91.4056101319789,,91.5657165303333,,91.6686663465859,,91.7355898539249,,91.7794028940769
NCAR,SSP2_v9_130115,GBR,Population|Urban|Share,%,79.638,,83.40742928359,,86.0777059917679,,88.0509026801218,,89.5603670585417,,90.7482697313538,,91.7052167316618,,92.4912801465047,,93.1476743115187,,93.703524083935
NCAR,SSP2_v9_130115,GEO,Population|Urban|Share,%,52.747,,58.6577022413369,,63.5130250115334,,67.4749293641241,,70.7139806958873,,73.3791694379432,,75.5910023145611,,77.443739477273,,79.0101781959131,,80.3464261138837
NCAR,SSP2_v9_130115,GHA,Population|Urban|Share,%,51.471,,57.7916561743488,,62.8929235026712,,66.9791140804379,,70.2616004335516,,72.9196607038522,,75.0940549027647,,76.8919489860034,,78.3941689564215,,79.6617477713947
NCAR,SSP2_v9_130115,GIN,Population|Urban|Share,%,35.361,,41.6229534790056,,47.550761822111,,52.971332484123,,57.8098935120799,,62.0632554785414,,65.770347213077,,68.989474591908,,71.7839461399008,,74.2143104478779
NCAR,SSP2_v9_130115,GMB,Population|Urban|Share,%,58.149,,65.0058116652641,,69.8572543119815,,73.3529416802386,,75.9347572792395,,77.8883160639167,,79.3986511191069,,80.5880760971654,,81.5395237691585,,82.3106941057172
NCAR,SSP2_v9_130115,GNB,Population|Urban|Share,%,30.003,,35.7258861461047,,41.5796638396096,,47.3614031861502,,52.9019287128378,,58.0809696870846,,62.8285000725773,,67.1169361913646,,70.9497061497614,,74.3501222124284
NCAR,SSP2_v9_130115,GRC,Population|Urban|Share,%,61.414,,66.8135423583268,,71.1928628688494,,74.752080990315,,77.6656001398586,,80.0732945569242,,82.0834896387684,,83.7790263095647,,85.2231727329176,,86.4644685475967
NCAR,SSP2_v9_130115,GTM,Population|Urban|Share,%,49.458,,55.6240178067132,,60.8034342394617,,65.0983402434497,,68.6496446673639,,71.594994641721,,74.0529392542241,,76.1199573368934,,77.8725626944411,,79.3708210549536
NCAR,SSP2_v9_130115,HND,Population|Urban|Share,%,51.604,,57.7565022569981,,62.8703736335156,,67.0789253141569,,70.5407740460495,,73.4021367458792,,75.7849512434512,,77.786452354305,,79.4827009983944,,80.9328356351505
NCAR,SSP2_v9_130115,HRV,Population|Urban|Share,%,57.738,,63.8155299507623,,68.4448394401016,,71.9967043782215,,74.7607461101981,,76.9465095902789,,78.70237442907,,80.1335252870011,,81.3153352574173,,82.3026149660458
