Basin_name,Basin_name_cor
Madasgacar,Madagascar
Great_Lakes,Great_Lakes_Basin
Brahamani,Brahmani
Mahandi,Mahanadi
Hamun_i_Mashkel,HamuniMashkel
Yenisey,Yenisei
Hong_Red_River,Hong_(Red_River)
Sittang,Sittaung
Arkansas_White_Red,Arkansas_White_Red_Basin
California_River,California_River_Basin
Great,Great_Basin
Lower_Colorado_River,Lower_Colorado_River_Basin
Lower_Mississippi_River,Lower_Mississippi_River_Basin
Mid_Atlantic,Mid_Atlantic_Basin
Missouri_River,Missouri_River_Basin
New_England,New_England_Basin
Ohio_River,Ohio_River_Basin
Pacific_Northwest,Pacific_Northwest_Basin
Rio_Grande_River,Rio_Grande_River_Basin
South_Atlantic_Gulf,South_Atlantic_Gulf_Basin
Tennessee_River,Tennessee_River_Basin
Texas_Gulf_Coast,Texas_Gulf_Coast_Basin
Upper_Colorado_River,Upper_Colorado_River_Basin
Upper_Mississippi,Upper_Mississippi_Basin
