Country Name,Country Code,Series Name,Series Code,1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020]
Afghanistan,AFG,GDP (constant 2010 US$),NY.GDP.MKTP.KD,..,..,..,..,..,..,7465114629.45783,8124454291.89637,8239343660.83276,9164598458.53792,9655582953.98018,10990594706.5564,11421973770.8233,13865194314.7185,15856574731.441,15924179997.7914,17954877146.6564,18960483969.8941,19477070577.8584,19759744157.4377,20206376461.4103,20741239893.4132,20987900552.5239,21808863988.0303,..
Afghanistan,AFG,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,..,..,..,..,..,..,330.303552908057,343.080889714587,333.216684486798,357.234719908026,365.284494951006,405.548979051796,412.014286663305,488.300250990155,543.303041863931,528.736648057768,576.190125450699,587.565090150175,583.656192833123,574.184114271259,571.07377452356,571.440690906349,564.609991742901,573.287551042738,..
Albania,ALB,GDP (constant 2010 US$),NY.GDP.MKTP.KD,5923796791.7011,5276919124.81347,5742875711.85154,6483126460.62459,6933706092.26578,7508515182.79876,7849398816.77983,8283474557.11024,8739893896.95844,9223202583.88038,9767379279.88863,10351466806.2388,11127823665.7504,11500613161.6647,11926928505.5231,12230507222.1843,12403877841.0321,12528163103.1195,12750473701.7819,13033375121.5884,13465406059.6498,13977387390.5945,14546448944.4056,14872299622.2198,..
Albania,ALB,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,1869.86587314624,1676.12710708271,1835.6466813013,2085.42599716821,2244.62463172571,2453.62441365203,2572.72143217486,2725.17138911963,2887.37034243453,3062.67388299547,3263.90171311883,3485.32240934607,3775.58131429173,3928.45039149695,4094.3503344202,4209.87480089435,4276.60790388367,4327.37995998728,4413.29689127908,4524.3730858712,4681.82656299266,4864.31061630449,5074.85722194352,5210.68829038413,..
Algeria,DZA,GDP (constant 2010 US$),NY.GDP.MKTP.KD,96993488969.6794,98060417289.3,103061502110.79,106359471777.372,110401131704.913,113713165656.06,120081102932.799,128726942343.962,134262200864.751,142183670715.772,144600793117.941,149517220083.95,153105633365.965,155555323499.821,161155315145.814,165828819285.043,171466999140.734,176268075116.674,182966261971.108,189736013664.039,195807566101.288,198353064460.605,200733301234.133,202339167644.005,..
Algeria,DZA,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,3314.15795584321,3296.92655497958,3413.45152253384,3473.14311730617,3556.48141008253,3615.50689280206,3769.60263839623,3989.78167456728,4106.86196764501,4289.13588287407,4298.34976728519,4376.07465138994,4408.37757190905,4402.44091782107,4479.34171958005,4523.24843737859,4586.65518491252,4621.59058905917,4700.640562933,4775.87329508677,4828.62605944022,4792.38724221245,4753.51098744717,4699.76340456603,..
American Samoa,ASM,GDP (constant 2010 US$),NY.GDP.MKTP.KD,..,..,..,..,..,..,623365638.76652,628440528.634361,631823788.546256,629286343.612335,603066079.295154,614907488.986784,598837004.405286,573462555.066079,576000000,577691629.955947,552317180.61674,537092511.013216,542167400.881057,549779735.682819,534555066.079295,503259911.894273,514255506.60793,..,..
American Samoa,ASM,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,..,..,..,..,..,..,10551.212572216,10561.3156869179,10586.6823368619,10565.2319198874,10202.9553063961,10535.5519401488,10416.0057817659,10117.0113625969,10271.2245225485,10360.5091546826,9921.80610804858,9640.34446203249,9717.82905631836,9850.56503409338,9589.9798367323,9048.18252237097,9271.71200951825,..,..
Andorra,AND,GDP (constant 2010 US$),NY.GDP.MKTP.KD,2176762473.45181,2374144159.09756,2449993086.30684,2550420283.40651,2640408325.59989,2854792522.86889,2984581731.4066,3244067347.20933,3507994166.77714,3697348535.06562,3875142516.24022,3935330770.25056,3716558398.51518,3519475009.94299,3449966856.68832,3449688452.87021,3278085642.31738,3161792390.29564,3240978390.56079,3287458570.8604,3409412700.51704,3421211719.47501,3475566750.62972,3539838260.639,..
Andorra,AND,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,33821.6667720915,36907.4285929324,38196.3937249671,39621.2565388614,40379.390206452,42393.0818204197,42607.056937381,44328.7604494183,46010.1013427567,46880.8061047792,47845.400420286,47594.8281439041,44317.5502434378,41668.8373600629,40852.6667774434,41191.7854116591,39769.5614582283,39143.6896810315,40914.7285238633,42140.9617984695,44107.9563309965,44430.7440094935,45133.7136149095,45887.3021264552,..
Angola,AGO,GDP (constant 2010 US$),NY.GDP.MKTP.KD,30572272219.3363,32796184094.1753,34334701120.3514,35083709095.1369,36155384575.451,37676079528.6812,42824774451.2357,44105170974.6178,48935949384.3211,56290491777.1201,62790739426.972,71587733475.3748,79581318822.8055,80264693646.7985,83799496611.2004,86708995310.3851,94115840392.858,98778851724.4208,103542587859.422,104519586272.323,101822929058.742,101673032530.175,99635881425.7512,99013511554.0281,..
Angola,AGO,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,2122.96845868156,2205.29400017451,2235.39017194206,2211.12993969616,2205.20533780581,2223.33463308956,2444.41778235176,2433.86155040755,2608.7840447081,2896.55472912948,3116.18103865483,3424.37170191088,3668.07989214814,3565.05693638622,3587.88379824396,3579.95990738589,3748.45065461021,3796.88218936433,3843.19787714916,3748.32011771476,3530.31067153378,3409.93030259958,3233.90623484048,3111.15769874335,..
