scenario,region,GCAM_region_ID,year,gdpcap1q
DietaryTransition,Africa_Eastern,2,2020,55.34977950063185
DietaryTransition,Africa_Eastern,2,2030,78.98302730596438
DietaryTransition,Africa_Eastern,2,2040,122.6085483560845
DietaryTransition,Africa_Eastern,2,2050,198.6608713605289
DietaryTransition,Africa_Northern,3,2020,322.6174479242474
DietaryTransition,Africa_Northern,3,2030,450.9935609559776
DietaryTransition,Africa_Northern,3,2040,634.542743564384
DietaryTransition,Africa_Northern,3,2050,880.0256072189518
DietaryTransition,Africa_Southern,4,2020,73.87414444170679
DietaryTransition,Africa_Southern,4,2030,93.98595513008337
DietaryTransition,Africa_Southern,4,2040,130.06522631290483
DietaryTransition,Africa_Southern,4,2050,194.78010866515007
DietaryTransition,Africa_Western,5,2020,93.22223695159924
DietaryTransition,Africa_Western,5,2030,126.49760916808613
DietaryTransition,Africa_Western,5,2040,198.8857928774027
DietaryTransition,Africa_Western,5,2050,311.1202513270688
DietaryTransition,Argentina,31,2020,738.4580222348277
DietaryTransition,Argentina,31,2030,971.5282291777754
DietaryTransition,Argentina,31,2040,1229.7614207194058
DietaryTransition,Argentina,31,2050,1544.9101572730306
DietaryTransition,Australia_NZ,6,2020,5223.9918597994065
DietaryTransition,Australia_NZ,6,2030,5848.65369192541
DietaryTransition,Australia_NZ,6,2040,6477.4141709021205
DietaryTransition,Australia_NZ,6,2050,7204.745712767433
DietaryTransition,Brazil,7,2020,373.1068025293662
DietaryTransition,Brazil,7,2030,437.4548243117079
DietaryTransition,Brazil,7,2040,521.1254968552375
DietaryTransition,Brazil,7,2050,616.7254910770849
DietaryTransition,Canada,8,2020,5702.099479623251
DietaryTransition,Canada,8,2030,6079.81148432384
DietaryTransition,Canada,8,2040,6651.446197104496
DietaryTransition,Canada,8,2050,7148.796098789365
DietaryTransition,Central America and Caribbean,9,2020,262.9555275059767
DietaryTransition,Central America and Caribbean,9,2030,351.99660426753707
DietaryTransition,Central America and Caribbean,9,2040,488.151558825904
DietaryTransition,Central America and Caribbean,9,2050,695.1163768992823
DietaryTransition,Central Asia,10,2020,577.2315826533116
DietaryTransition,Central Asia,10,2030,833.0368790061816
DietaryTransition,Central Asia,10,2040,1110.076027413747
DietaryTransition,Central Asia,10,2050,1359.5499195322022
DietaryTransition,China,11,2020,577.8166286813752
DietaryTransition,China,11,2030,962.5856842632287
DietaryTransition,China,11,2040,1373.529888598935
DietaryTransition,China,11,2050,1848.1075372776932
DietaryTransition,Colombia,32,2020,310.8930379679076
DietaryTransition,Colombia,32,2030,383.321619682327
DietaryTransition,Colombia,32,2040,477.9578981023308
DietaryTransition,Colombia,32,2050,594.4960820765032
DietaryTransition,EU-12,12,2020,2055.692543392774
DietaryTransition,EU-12,12,2030,2562.918411829348
DietaryTransition,EU-12,12,2040,3098.036264920487
DietaryTransition,EU-12,12,2050,3582.1728696751697
DietaryTransition,EU-15,13,2020,4513.3400470346405
DietaryTransition,EU-15,13,2030,5005.246184710638
DietaryTransition,EU-15,13,2040,5650.728288420893
DietaryTransition,EU-15,13,2050,6426.6598357074445
DietaryTransition,Europe_Eastern,14,2020,408.61630466817275
DietaryTransition,Europe_Eastern,14,2030,565.7183182610971
DietaryTransition,Europe_Eastern,14,2040,756.0257860883916
DietaryTransition,Europe_Eastern,14,2050,943.2403231598705
DietaryTransition,Europe_Non_EU,15,2020,1073.7302663798241
DietaryTransition,Europe_Non_EU,15,2030,1342.2477827062055
DietaryTransition,Europe_Non_EU,15,2040,1633.3304242446798
DietaryTransition,Europe_Non_EU,15,2050,1944.1168623739934
DietaryTransition,European Free Trade Association,16,2020,9612.869133415468
DietaryTransition,European Free Trade Association,16,2030,10423.565713921864
DietaryTransition,European Free Trade Association,16,2040,11419.590615446361
DietaryTransition,European Free Trade Association,16,2050,12784.15161878447
DietaryTransition,India,17,2020,191.711184431966
DietaryTransition,India,17,2030,293.06874172408106
DietaryTransition,India,17,2040,401.0953164300994
DietaryTransition,India,17,2050,513.4534106662127
DietaryTransition,Indonesia,18,2020,370.22111839567435
DietaryTransition,Indonesia,18,2030,588.4859793367141
DietaryTransition,Indonesia,18,2040,874.3811999693365
DietaryTransition,Indonesia,18,2050,1250.9088884888133
DietaryTransition,Japan,19,2020,4984.098355612162
DietaryTransition,Japan,19,2030,5499.719351467322
DietaryTransition,Japan,19,2040,6070.988006949048
DietaryTransition,Japan,19,2050,6721.496001037347
DietaryTransition,Mexico,20,2020,445.25902182251554
