Country Name,Country Code,Series Name,Series Code,1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016]
Afghanistan,AFG,"Labor force, total",SL.TLF.TOTL.IN,4924653,5032304,5162557,5336840,5606987,5934968,6292828,6644955,6969404,7133722,7264788,7390836,7549815,7766590,8126681,8560749,9051268,9567711,10087598,10551800
Afghanistan,AFG,"Population, total",SP.POP.TOTL,18381605,18863999,19403676,20093756,20966463,21979923,23064851,24118979,25070798,25893450,26616792,27294031,28004331,28803167,29708599,30696958,31731688,32758020,33736494,34656032
Albania,ALB,"Labor force, total",SL.TLF.TOTL.IN,1368603,1363892,1354626,1350697,1338328,1338094,1319856,1301290,1282212,1266919,1250632,1234727,1226713,1225744,1271832,1325041,1249102,1275842,1333035,1331755
Albania,ALB,"Population, total",SP.POP.TOTL,3148281,3128530,3108778,3089027,3060173,3051010,3039616,3026939,3011487,2992547,2970017,2947314,2927519,2913021,2905195,2900401,2895092,2889104,2880703,2876101
Algeria,DZA,"Labor force, total",SL.TLF.TOTL.IN,8298430,8507767,8719362,8930844,9157772,9379025,9598651,9819838,10042331,10254769,10460259,10661124,10861377,11136913,11358846,11597754,12064551,11642537,11798733,11937169
Algeria,DZA,"Population, total",SP.POP.TOTL,29886839,30335732,30765613,31183660,31592153,31995046,32403514,32831096,33288437,33777915,34300076,34860715,35465760,36117637,36819558,37565847,38338562,39113313,39871528,40606052
American Samoa,ASM,"Labor force, total",SL.TLF.TOTL.IN,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
American Samoa,ASM,"Population, total",SP.POP.TOTL,54941,55901,56770,57521,58175,58731,59117,59264,59118,58650,57903,57030,56227,55637,55320,55230,55307,55437,55537,55599
Andorra,AND,"Labor force, total",SL.TLF.TOTL.IN,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Andorra,AND,"Population, total",SP.POP.TOTL,64327,64142,64370,65390,67341,70049,73182,76244,78867,80991,82683,83861,84462,84449,83751,82431,80788,79223,78014,77281
Angola,AGO,"Labor force, total",SL.TLF.TOTL.IN,6126032,6304184,6498101,6711619,6934595,7182006,7445833,7723412,8011142,8294270,8590630,8903075,9233513,9578368,9926136,10291553,10671132,11062740,11464498,11871028
