Country Name,Country Code,Series Name,Series Code,1960 [YR1960],1961 [YR1961],1962 [YR1962],1963 [YR1963],1964 [YR1964],1965 [YR1965],1966 [YR1966],1967 [YR1967],1968 [YR1968],1969 [YR1969],1970 [YR1970],1971 [YR1971],1972 [YR1972],1973 [YR1973],1974 [YR1974],1975 [YR1975],1976 [YR1976],1977 [YR1977],1978 [YR1978],1979 [YR1979],1980 [YR1980],1981 [YR1981],1982 [YR1982],1983 [YR1983],1984 [YR1984],1985 [YR1985],1986 [YR1986],1987 [YR1987],1988 [YR1988],1989 [YR1989],1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023],2024 [YR2024],2025 [YR2025],2026 [YR2026],2027 [YR2027],2028 [YR2028],2029 [YR2029],2030 [YR2030],2031 [YR2031],2032 [YR2032],2033 [YR2033],2034 [YR2034],2035 [YR2035],2036 [YR2036],2037 [YR2037],2038 [YR2038],2039 [YR2039],2040 [YR2040],2041 [YR2041],2042 [YR2042],2043 [YR2043],2044 [YR2044],2045 [YR2045],2046 [YR2046],2047 [YR2047],2048 [YR2048],2049 [YR2049],2050 [YR2050]
Afghanistan,AFG,Rural population,SP.RUR.TOTL,8241137,8373138,8512056,8657977,8810646,8970246,9133645,9300654,9475708,9665503,9872695,10095982,10327925,10557926,10772082,10958232,11121482,11259228,11343620,11340121,11220137,10990181,10673561,10312659,9962974,9670307,9430372,9247189,9178456,9365968,9783754,10470848,11392158,12424891,13398640,14194409,14759602,15136305,15416181,15736082,16192155,16816935,17569613,18387486,19163180,19829986,20378030,20836789,21257441,21714081,22257743,22904895,23632788,24404522,25165917,25877997,26530269,27131559,27695286,28244481,28797000,29353000,29907000,30455000,30991000,31511000,32014000,32501000,32971000,33426000,33863000,34284000,34686000,35069000,35431000,35771000,36088000,36381000,36650000,36894000,37113000,37307000,37476000,37622000,37747000,37851000,37934000,37994000,38034000,38052000,38050000
Afghanistan,AFG,Rural population (% of total population),SP.RUR.TOTL.ZS,91.599,91.316,91.024,90.724,90.414,90.096,89.767,89.43,89.082,88.725,88.357,87.979,87.59,87.191,86.781,86.359,85.926,85.483,85.027,84.558,84.005,83.438,82.853,82.253,81.635,81.003,80.353,79.686,79.002,78.912,78.823,78.734,78.645,78.556,78.466,78.376,78.286,78.195,78.105,78.014,77.922,77.831,77.739,77.647,77.5,77.297,77.093,76.887,76.68,76.472,76.263,76.052,75.84,75.627,75.413,75.197,74.98,74.75,74.505,74.246,73.974,73.686,73.384,73.067,72.735,72.387,72.024,71.645,71.25,70.839,70.411,69.967,69.506,69.028,68.533,68.022,67.493,66.948,66.385,65.806,65.212,64.602,63.98,63.35,62.716,62.077,61.435,60.788,60.137,59.483,58.826
Albania,ALB,Rural population,SP.RUR.TOTL,1114818,1146208,1180553,1214693,1248887,1282417,1315273,1348911,1386348,1424962,1457678,1489206,1522477,1554419,1585958,1618163,1649474,1681437,1711648,1740858,1769877,1798543,1829633,1861315,1893194,1924635,1954134,1985256,2014614,2060783,2089320,2067878,2037549,2007405,1977318,1947385,1917515,1887867,1858316,1828925,1799636,1761589,1723790,1684768,1645111,1604189,1561661,1517619,1473922,1432259,1393502,1358266,1324613,1291587,1258985,1226200,1195854,1167112,1137407,1106598,1080000,1053000,1027000,1001000,976000,952000,929000,906000,884000,863000,842000,823000,803000,785000,767000,749000,732000,715000,699000,684000,668000,652000,637000,621000,606000,591000,577000,562000,548000,534000,521000
Albania,ALB,Rural population (% of total population),SP.RUR.TOTL.ZS,69.295,69.057,68.985,68.914,68.842,68.77,68.698,68.626,68.554,68.452,68.26,68.067,67.873,67.679,67.484,67.288,67.092,66.895,66.698,66.5,66.238,65.976,65.713,65.448,65.183,64.917,64.65,64.381,64.112,63.842,63.572,63.3,62.751,62.201,61.646,61.089,60.527,59.965,59.399,58.831,58.259,57.565,56.499,55.427,54.349,53.269,52.185,51.098,50.009,48.924,47.837,46.753,45.67,44.613,43.577,42.566,41.579,40.617,39.681,38.771,37.888,37.031,36.201,35.397,34.62,33.87,33.147,32.45,31.78,31.135,30.516,29.923,29.356,28.813,28.296,27.803,27.336,26.893,26.475,26.061,25.651,25.245,24.844,24.446,24.053,23.665,23.28,22.901,22.525,22.154,21.787
Algeria,DZA,Rural population,SP.RUR.TOTL,7684109,7731723,7760418,7783587,7804639,7826355,7891247,8097235,8311694,8530684,8751316,8973172,9197427,9426366,9663092,9909819,10166564,10386573,10536605,10691725,10852168,11018346,11187124,11355130,11517502,11671559,11814562,11953235,12096827,12227217,12342362,12442282,12525737,12591017,12634410,12654288,12650696,12627679,12586453,12519461,12442038,12356671,12263898,12168749,12076158,11990255,11911270,11839539,11774718,11721662,11678282,11645141,11620781,11603754,11591085,11581514,11573776,11567453,11558343,11542954,11518000,11484000,11441000,11390000,11333000,11273000,11208000,11140000,11069000,10996000,10924000,10852000,10781000,10711000,10645000,10577000,10508000,10437000,10366000,10293000,10221000,10148000,10075000,10002000,9926000,9851000,9773000,9695000,9614000,9531000,9446000
Algeria,DZA,Rural population (% of total population),SP.RUR.TOTL.ZS,69.49,68.203,66.786,65.338,63.859,62.357,61.16,60.996,60.831,60.666,60.5,60.335,60.169,60.003,59.837,59.67,59.503,59.072,58.206,57.335,56.458,55.58,54.697,53.811,52.921,52.032,51.14,50.278,49.489,48.702,47.915,47.129,46.343,45.561,44.781,44.003,43.226,42.456,41.687,40.882,40.081,39.288,38.499,37.716,36.939,36.17,35.407,34.652,33.903,33.174,32.46,31.764,31.085,30.424,29.779,29.152,28.541,27.948,27.371,26.811,26.267,25.739,25.228,24.732,24.252,23.788,23.339,22.905,22.486,22.081,21.692,21.317,20.956,20.61,20.279,19.951,19.627,19.307,18.991,18.678,18.37,18.066,17.766,17.47,17.177,16.889,16.604,16.324,16.047,15.774,15.504
American Samoa,ASM,Rural population,SP.RUR.TOTL,6799,6873,6999,7163,7332,7496,7644,7786,7907,8016,8104,8176,8232,8271,8297,8308,8303,8289,8287,8321,8380,8411,8482,8583,8688,8788,8878,8958,9020,9058,9021,8819,8588,8340,8083,7825,7566,7305,7040,6772,6599,6732,6857,6964,7044,7088,7093,7062,7015,6974,6957,6969,7003,7049,7092,7123,7136,7136,7126,7109,7100,7100,7000,7000,7000,6900,6900,6900,6800,6700,6700,6600,6500,6400,6400,6300,6200,6100,6000,5900,5800,5700,5600,5500,5400,5400,5300,5200,5100,5000,4900
American Samoa,ASM,Rural population (% of total population),SP.RUR.TOTL.ZS,33.789,33.359,32.932,32.507,32.084,31.666,31.25,30.837,30.426,30.02,29.616,29.216,28.818,28.424,28.033,27.646,27.261,26.88,26.503,26.129,25.67,24.957,24.257,23.571,22.897,22.238,21.592,20.96,20.341,19.737,19.052,18.114,17.211,16.346,15.515,14.72,13.957,13.229,12.533,11.869,11.413,11.509,11.606,11.703,11.802,11.9,12,12.1,12.201,12.303,12.406,12.498,12.58,12.652,12.712,12.762,12.802,12.83,12.847,12.853,12.847,12.831,12.804,12.765,12.716,12.656,12.585,12.503,12.412,12.31,12.198,12.077,11.946,11.806,11.657,11.5,11.335,11.172,11.011,10.852,10.695,10.54,10.387,10.236,10.087,9.94,9.795,9.652,9.51000000000001,9.371,9.233
Andorra,AND,Rural population,SP.RUR.TOTL,5572,5609,5616,5601,5554,5482,5385,5264,5125,4975,4818,4657,4491,4315,4123,3914,3692,3467,3246,3044,2862,2700,2553,2416,2285,2159,2175,2337,2508,2690,2882,3100,3342,3591,3830,4047,4232,4387,4537,4721,4973,5350,5855,6435,7052,7662,8256,8841,9221,9365,9442,9442,9371,9259,9156,9092,9084,9125,9193,9269,9300,9400,9400,9500,9500,9500,9600,9600,9500,9500,9500,9500,9400,9400,9300,9200,9200,9100,9000,8900,8800,8700,8500,8400,8300,8100,8000,7800,7700,7600,7400
Andorra,AND,Rural population (% of total population),SP.RUR.TOTL.ZS,41.55,39.017,36.538,34.128,31.795,29.555,27.407,25.359,23.412,21.576,19.845,18.22,16.699,15.284,13.968,12.748,11.618,10.58,9.622,8.74299999999999,7.93600000000001,7.2,6.526,5.911,5.351,4.84099999999999,4.675,4.822,4.973,5.128,5.288,5.47,5.676,5.889,6.11,6.339,6.575,6.81999999999999,7.07299999999999,7.334,7.605,7.944,8.35899999999999,8.79300000000001,9.249,9.715,10.193,10.692,10.996,11.088,11.181,11.274,11.369,11.463,11.559,11.655,11.752,11.85,11.938,12.016,12.084,12.142,12.189,12.226,12.253,12.268,12.274,12.268,12.252,12.225,12.188,12.14,12.082,12.014,11.935,11.847,11.749,11.642,11.525,11.4,11.265,11.123,10.972,10.814,10.658,10.503,10.351,10.201,10.052,9.90600000000001,9.761
